City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,dien bien phu,21.3833,103.0167,38.06,22,1,2.55,VN,1713243994
83,sinop,41.7711,34.8709,16.44,51,98,5.13,TR,1713243773
84,qaqortoq,60.7167,-46.0333,0.23,99,100,2.36,GL,1713243996
85,bredasdorp,-34.5322,20.0403,16.69,93,83,2.12,ZA,1713243997
86,san patricio,28.017,-97.5169,23.8,86,100,7.49,US,1713243998
87,el abiodh sidi cheikh,32.893,0.5484,11.8,57,0,7.93,DZ,1713243998
88,kapa'a,22.0752,-159.319,24.99,80,19,2.68,US,1713243703
89,lihue,21.9789,-159.3672,24.58,70,75,4.12,US,1713243998
90,labrador city,52.9463,-66.9114,-0.46,69,100,3.58,CA,1713243999
91,topchikha,52.8192,83.1185,6.98,53,37,3.23,RU,1713243999
92,prince rupert,54.3161,-130.3201,3.26,83,30,1.47,CA,1713244000
93,new norfolk,-42.7826,147.0587,16.07,54,100,1.37,AU,1713244000
94,stanley,54.868,-1.6985,6.82,78,75,8.23,GB,1713244000
95,culemborg,51.955,5.2278,7.74,90,100,6.71,NL,1713244001
96,rio grande,-32.035,-52.0986,22.44,97,100,8.83,BR,1713244001
97,catriel,-37.8791,-67.7956,15.88,50,100,13.05,AR,1713244002
98,port lincoln,-34.7333,135.8667,18.41,59,2,4.46,AU,1713244003
99,egilsstadir,65.2653,-14.3948,-3.88,94,95,2.78,IS,1713244003
100,labytnangi,66.6572,66.4183,-1.46,97,100,5.57,RU,1713244003
101,bakanas,44.8081,76.2772,13.78,71,100,5.1,KZ,1713244004
102,luderitz,-26.6481,15.1594,13.58,74,0,2.47,NA,1713244005
103,hithadhoo,-0.6,73.0833,28.84,76,100,5.43,MV,1713244005
104,nova vicosa,-17.8919,-39.3719,25.69,76,30,5.61,BR,1713244005
105,glencoe,-28.1783,30.147,12.08,93,89,0.75,ZA,1713244005
106,winnemucca,40.973,-117.7357,9.03,71,75,1.54,US,1713244006
107,udachny,66.4167,112.4,-0.86,98,100,1.18,RU,1713244006
108,sangkhla buri,15.1555,98.4536,38.35,34,1,1.42,TH,1713244006
109,amahai,-3.3333,128.9167,29.01,77,76,2.48,ID,1713244007
110,vorgashor,67.5833,63.95,-1.78,95,100,4.63,RU,1713244007
111,kourou,5.1552,-52.6478,27.03,90,99,4.22,GF,1713244007
112,sao felix do xingu,-6.6447,-51.995,22.63,99,96,0.44,BR,1713244008
113,east london,-33.0153,27.9116,20.27,89,61,5.76,ZA,1713243917
114,zaragoza,41.6561,-0.8773,11.68,62,0,9.77,ES,1713244008
115,kenitra,34.261,-6.5802,9.42,84,1,0.88,MA,1713244009
116,anadyr,64.75,177.4833,-13.72,71,12,11.0,RU,1713244009
